Periode;Data Inflasi (%);Produksi (Juta Ton);Harga Beras
01 2021;1.55 ;1.2;9404.74
02 2021;1.38 ;2.34;9386.31
03 2021;1.37 ;5.57;9153.68
04 2021;1.42 ;4.48;8978.86
05 2021;1.68 ;2.28;8909.5
06 2021;1.33 ;2.33;8906.67
07 2021;1.52 ;3.18;8886.9
08 2021;1.59 ;2.4;8915.75
09 2021;1.6 ;2.46;8962.39
10 2021;1.66 ;2.3;9010.82
11 2021;1.75 ;1.65;9071.94
12 2021;1.87 ;1.17;9128.44
01 2022;2.18 ;1.42;9381.24
02 2022;2.06 ;2.35;9358.61
03 2022;2.64 ;5.49;9323.35
04 2022;3.47 ;4.45;9104.35
05 2022;3.55 ;2.38;9065.18
06 2022;4.35 ;2.51;9007.86
07 2022;4.94 ;2.71;9091.92
08 2022;4.69 ;2.35;9358.34
09 2022;5.95 ;2.47;9785.04
10 2022;5.71 ;2.38;10043.47
11 2022;5.42 ;1.88;10122.15
12 2022;5.51 ;1.11;10371.11
01 2023;5.28 ;1.34;10801.71
02 2023;5.47 ;2.85;11300.76
03 2023;4.97 ;5.13;11121.88
04 2023;4.33 ;3.66;11049.87
05 2023;400%;2.86;11005.56
06 2023;3.52 ;2.79;11079.92
07 2023;3.08 ;2.48;11120.58
08 2023;3.27 ;2.52;11474.96
09 2023;2.28 ;2.47;12685.36
10 2023;2.56 ;2.06;13011.56
